Date,Price,Open,High,Low,Vol.,Change %
"Jul 14, 2019",10200.1,11364.3,11448.7,10128.9,840.76K,-10.25%
"Jul 15, 2019",10845.9,10199.9,11064.7,9885.4,956.52K,6.33%
"Jul 16, 2019",9424.8,10844,11019.5,9375.3,1.05M,-13.10%
"Jul 17, 2019",9723.2,9425.1,9983.6,9082.6,1.03M,3.17%
"Jul 18, 2019",10651.4,9723.1,10787.1,9390,974.49K,9.55%
"Jul 19, 2019",10571.5,10651.6,10758.4,10160.7,727.79K,-0.75%
"Jul 20, 2019",10826.7,10571.9,11155.6,10462,668.94K,2.41%
"Jul 21, 2019",10714.4,10827,10883.8,10442.5,562.17K,-1.04%
"Jul 22, 2019",10412.5,10715.1,10806.3,10196.5,591.27K,-2.82%
"Jul 23, 2019",9888.7,10412.8,10414.7,9865.4,663.38K,-5.03%
"Jul 24, 2019",9804.3,9887.2,9945.3,9584,639.54K,-0.85%
"Jul 25, 2019",9945.3,9804.7,10203.5,9776.6,545.85K,1.44%
"Jul 26, 2019",9831,9945.2,10436.1,9724.2,493.75K,-1.15%
"Jul 27, 2019",9492.1,9830.4,10232.3,9389.1,661.89K,-3.45%
"Jul 28, 2019",9727.8,9491.1,9798.5,9401.1,518.59K,2.48%
"Jul 29, 2019",9580.9,9728.5,9835.4,9502.5,510.90K,-1.51%
"Jul 30, 2019",9580.7,9580,9703,9483,511.51K,0.00%
"Jul 31, 2019",10082,9580.3,10100,9562.4,589.84K,5.23%
"Aug 01, 2019",10380,10081.9,10459,9890.6,608.37K,2.96%
"Aug 02, 2019",10520.1,10380.5,10664.8,10330.5,578.29K,1.35%
"Aug 03, 2019",10815.7,10519.9,10893.6,10504.5,508.75K,2.81%
"Aug 04, 2019",10934.6,10816.1,11017.7,10568.8,585.71K,1.10%
"Aug 05, 2019",11816.8,10934.8,11922.3,10934.8,769.63K,8.07%
"Aug 06, 2019",11480.9,11817.6,12291.9,11237,807.58K,-2.84%
"Aug 07, 2019",12013.9,11481,12114.5,11406.4,702.85K,4.64%
"Aug 08, 2019",12191.6,12015.9,12236.6,11727,592.15K,1.48%
"Aug 09, 2019",12089.8,12190,12225.3,11885,558.72K,-0.84%
"Aug 10, 2019",11314.5,12090.5,12185,11281.6,570.74K,-6.41%
"Aug 11, 2019",11517.2,11314.6,11728.4,11146.1,435.83K,1.79%
"Aug 12, 2019",11394.2,11505.1,11508.6,11267.3,391.08K,-1.07%
"Aug 13, 2019",10892.9,11395,11445.6,10793.2,540.78K,-4.40%
"Aug 14, 2019",10049.4,10894.2,10894.5,9965.5,745.59K,-7.74%
"Aug 15, 2019",10303.4,10053.3,10448.2,9580.1,930.05K,2.53%
"Aug 16, 2019",10335.6,10300.9,10734,9788.6,798.67K,0.31%
"Aug 17, 2019",10218.1,10335.5,10460.7,10016.3,497.77K,-1.14%
"Aug 18, 2019",10312.7,10219.3,10494.9,10086.7,441.11K,0.93%
"Aug 19, 2019",10910.7,10312.8,10923.9,10267.8,519.01K,5.80%
"Aug 20, 2019",10752.6,10911.2,10941.6,10581,515.47K,-1.45%
"Aug 21, 2019",10141.5,10753.3,10797.8,9908,717.65K,-5.68%
"Aug 22, 2019",10105,10141.1,10218.2,9777,520.75K,-0.36%
"Aug 23, 2019",10388.7,10104.9,10434.3,9921.4,436.26K,2.81%
"Aug 24, 2019",10131,10389.4,10415.9,9917.5,463.85K,-2.48%
"Aug 25, 2019",10136.3,10132.1,10307,9935.2,422.53K,0.05%
"Aug 26, 2019",10371.8,10136,10568.2,10136,568.77K,2.32%
"Aug 27, 2019",10184.8,10372.2,10387.6,10060.2,419.81K,-1.80%
"Aug 28, 2019",9729.4,10184.7,10271.3,9629.6,580.29K,-4.47%
"Aug 29, 2019",9491,9729.1,9729.1,9343,509.13K,-2.45%
"Aug 30, 2019",9585.4,9494.1,9675.7,9370.2,413.92K,0.99%
"Aug 31, 2019",9594.4,9585.5,9677.5,9457.3,311.49K,0.09%
"Sep 01, 2019",9729.3,9594.7,9799.5,9533.6,322.66K,1.41%
"Sep 02, 2019",10348.8,9728.8,10431.5,9720.3,542.79K,6.37%
"Sep 03, 2019",10612.3,10348.1,10756.8,10283.5,578.79K,2.55%
"Sep 04, 2019",10568.2,10611.6,10783.6,10388.6,504.45K,-0.42%
"Sep 05, 2019",10566.9,10567.8,10630.7,10469.9,402.09K,-0.01%
"Sep 06, 2019",10309.3,10566.7,10896.2,10227.4,643.02K,-2.44%
"Sep 07, 2019",10461.1,10306.9,10556.4,10302.3,393.57K,1.47%
"Sep 08, 2019",10402.8,10461.6,10578,10266.3,339.73K,-0.56%
"Sep 09, 2019",10309,10402.1,10478,10095.7,473.76K,-0.90%
"Sep 10, 2019",10105.4,10308.7,10379.8,9970.7,383.22K,-1.98%
"Sep 11, 2019",10162.5,10104.9,10257.5,9908.9,413.06K,0.57%
"Sep 12, 2019",10415.1,10162.4,10447.9,10051,413.22K,2.49%
"Sep 13, 2019",10342.1,10415.2,10441.4,10174.1,365.52K,-0.70%
"Sep 14, 2019",10337.3,10342.2,10421.4,10253.7,326.44K,-0.05%
"Sep 15, 2019",10311.5,10337.3,10360.4,10272,255.79K,-0.25%
"Sep 16, 2019",10255.5,10311.3,10360.5,10108.5,372.53K,-0.54%
"Sep 17, 2019",10195.7,10254.6,10273.6,10153.5,321.64K,-0.58%
"Sep 18, 2019",10164.7,10195.7,10257.5,10119.3,318.82K,-0.30%
"Sep 19, 2019",10250.5,10164.6,10297.6,9707.6,542.25K,0.84%
"Sep 20, 2019",10172.7,10251.5,10279.5,10088.6,362.07K,-0.76%
"Sep 21, 2019",9993,10172.8,10177.9,9939.8,326.17K,-1.77%
"Sep 22, 2019",10031.6,9993,10075,9870.9,337.06K,0.39%
"Sep 23, 2019",9702.2,10031.3,10048.8,9656.3,431.10K,-3.28%
"Sep 24, 2019",8513.9,9702.7,9793.8,8069.4,933.16K,-12.25%
"Sep 25, 2019",8432.4,8512.3,8729.8,8245.1,696.11K,-0.96%
"Sep 26, 2019",8063.8,8432.5,8463.1,7773.6,731.03K,-4.37%
"Sep 27, 2019",8184.9,8063.8,8257.4,7882.1,561.40K,1.50%
"Sep 28, 2019",8208.5,8184.5,8297.2,8031.1,457.79K,0.29%
"Sep 29, 2019",8049.1,8208,8226.8,7922.1,418.48K,-1.94%
"Sep 30, 2019",8284.3,8048.9,8318.5,7749,600.26K,2.92%
"Oct 01, 2019",8302.7,8285,8486.2,8187.9,533.95K,0.22%
"Oct 02, 2019",8364.1,8302.7,8374,8167.7,405.86K,0.74%
"Oct 03, 2019",8226.9,8363.6,8391.7,8090.1,460.97K,-1.64%
"Oct 04, 2019",8148.1,8227.6,8233.6,8041.4,416.92K,-0.96%
"Oct 05, 2019",8127.3,8148,8185.1,8030.6,360.92K,-0.25%
"Oct 06, 2019",7881.9,8127.3,8145.5,7834.9,448.80K,-3.02%
"Oct 07, 2019",8198.6,7882.6,8293.5,7797,604.74K,4.02%
"Oct 08, 2019",8182.9,8198.5,8323.1,8118.1,469.04K,-0.19%
"Oct 09, 2019",8566.7,8180.1,8655.9,8122.7,636.43K,4.69%
"Oct 10, 2019",8562.3,8566.8,8638.5,8438.7,511.46K,-0.05%
"Oct 11, 2019",8267.8,8562.2,8751.1,8249.7,667.86K,-3.44%
"Oct 12, 2019",8304.4,8267.6,8394.8,8260.9,424.02K,0.44%
"Oct 13, 2019",8281.5,8304.3,8450.2,8190.6,419.87K,-0.28%
"Oct 14, 2019",8353.3,8281.3,8374.3,8222.2,505.02K,0.87%
"Oct 15, 2019",8167.2,8353.4,8400.2,8139.5,469.73K,-2.23%
"Oct 16, 2019",8000.4,8167.1,8185.9,7929.8,538.92K,-2.04%
"Oct 17, 2019",8073.3,8000.4,8118.2,7944.4,444.95K,0.91%
"Oct 18, 2019",7948.5,8073.3,8116.4,7842,505.79K,-1.55%
"Oct 19, 2019",7957.3,7948.3,8060.2,7892.4,428.83K,0.11%
"Oct 20, 2019",8223.4,7957.4,8288.5,7889.6,513.91K,3.34%
"Oct 21, 2019",8208.2,8224.1,8315.3,8155.7,489.40K,-0.18%
"Oct 22, 2019",8031.4,8207.4,8289.1,8017.7,570.39K,-2.15%
"Oct 23, 2019",7477,8031,8055,7329.2,892.08K,-6.90%
"Oct 24, 2019",7422.7,7476.8,7501.5,7366.3,586.49K,-0.73%
"Oct 25, 2019",8658.3,7422.8,8697.7,7404.9,1.18M,16.65%
"Oct 26, 2019",9230.6,8658.4,10540,8061.8,1.78M,6.61%
"Oct 27, 2019",9529.6,9230.6,9773.2,9081,1.16M,3.24%
"Oct 28, 2019",9207.2,9530.1,9866.9,9202.5,1.04M,-3.38%
"Oct 29, 2019",9411.3,9206.5,9531.3,9125.3,918.48K,2.22%
"Oct 30, 2019",9157.9,9411.3,9411.3,9018.4,789.73K,-2.69%
"Oct 31, 2019",9152.6,9157.9,9378.9,8959.6,798.93K,-0.06%
"Nov 01, 2019",9230.1,9153.1,9270.4,9057.2,689.65K,0.85%
"Nov 02, 2019",9300.6,9230.3,9356.7,9201.2,570.74K,0.76%
"Nov 03, 2019",9198.3,9300.5,9359.1,9095,536.56K,-1.10%
